name,kind,n_members,f1,accuracy,auc,sensitivity,specificity,india_f1,india_accuracy,india_auc,india_sensitivity,india_specificity,italy_f1,italy_accuracy,italy_auc,italy_sensitivity,italy_specificity
regnet_y_16gf_fold1,baseline,1,0.7142857142857143,0.7575757575757576,0.8721804511278195,0.7142857142857143,0.7894736842105263,0.7,0.6,0.75,0.6363636363636364,0.5,0.75,0.8888888888888888,0.9777777777777777,1.0,0.8666666666666667
regnet_y_16gf_fold2,baseline,1,0.8,0.8181818181818182,0.9172932330827068,0.8571428571428571,0.7894736842105263,0.8571428571428571,0.8,0.75,0.8181818181818182,0.75,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8
regnet_y_16gf_fold3,baseline,1,0.8125,0.8181818181818182,0.9097744360902256,0.9285714285714286,0.7368421052631579,0.8333333333333334,0.7333333333333333,0.75,0.9090909090909091,0.25,0.75,0.8888888888888888,0.9777777777777777,1.0,0.8666666666666667
top2_best_fold,ensemble,2,0.8666666666666667,0.8787878787878788,0.9398496240601504,0.9285714285714286,0.8421052631578947,0.9090909090909091,0.8666666666666667,0.7954545454545454,0.9090909090909091,0.75,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667
top3_best_fold,ensemble,3,0.8275862068965517,0.8484848484848485,0.9548872180451127,0.8571428571428571,0.8421052631578947,0.8571428571428571,0.8,0.8636363636363635,0.8181818181818182,0.75,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667
top3_all_folds,ensemble,9,0.8275862068965517,0.8484848484848485,0.943609022556391,0.8571428571428571,0.8421052631578947,0.8571428571428571,0.8,0.8863636363636364,0.8181818181818182,0.75,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667
top5_palpebral_best_fold,ensemble,5,0.8,0.8181818181818182,0.943609022556391,0.8571428571428571,0.7894736842105263,0.8181818181818182,0.7333333333333333,0.7727272727272727,0.8181818181818182,0.5,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667
top5_palpebral_all_folds,ensemble,15,0.7333333333333333,0.7575757575757576,0.9398496240601504,0.7857142857142857,0.7368421052631579,0.7272727272727273,0.6,0.7954545454545454,0.7272727272727273,0.25,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667
all6_incl_efficientnet_best_fold,ensemble,6,0.7741935483870968,0.7878787878787878,0.9285714285714285,0.8571428571428571,0.7368421052631579,0.8181818181818182,0.7333333333333333,0.8181818181818182,0.8181818181818182,0.5,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8
maxvit_t_folds_only,ensemble,3,0.8275862068965517,0.8484848484848485,0.9473684210526315,0.8571428571428571,0.8421052631578947,0.8571428571428571,0.8,0.8409090909090909,0.8181818181818182,0.75,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667
top2_palpebral_plus_efficientnet_best_fold,ensemble,3,0.8275862068965517,0.8484848484848485,0.9210526315789473,0.8571428571428571,0.8421052631578947,0.8571428571428571,0.8,0.7954545454545454,0.8181818181818182,0.75,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667
coatnet_3_soup_all_folds,soup,3,0.75,0.7575757575757576,0.8759398496240601,0.8571428571428571,0.6842105263157895,0.782608695652174,0.6666666666666666,0.5227272727272727,0.8181818181818182,0.25,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8
convnext_base_soup_all_folds,soup,3,0.7692307692307693,0.8181818181818182,0.9210526315789473,0.7142857142857143,0.8947368421052632,0.7777777777777778,0.7333333333333333,0.8409090909090909,0.6363636363636364,1.0,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667
convnext_large_soup_all_folds,soup,3,0.7586206896551724,0.7878787878787878,0.9360902255639098,0.7857142857142857,0.7894736842105263,0.8,0.7333333333333333,0.8636363636363636,0.7272727272727273,0.75,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8
efficientnet_b3_soup_all_folds,soup,3,0.6666666666666666,0.696969696969697,0.7593984962406015,0.7142857142857143,0.6842105263157895,0.7,0.6,0.6363636363636364,0.6363636363636364,0.5,0.6,0.7777777777777778,0.9555555555555556,1.0,0.7333333333333333
maxvit_t_soup_all_folds,soup,3,0.8275862068965517,0.8484848484848485,0.9548872180451128,0.8571428571428571,0.8421052631578947,0.8571428571428571,0.8,0.8181818181818181,0.8181818181818182,0.75,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667
regnet_y_16gf_soup_all_folds,soup,3,0.7741935483870968,0.7878787878787878,0.9097744360902256,0.8571428571428571,0.7368421052631579,0.8181818181818182,0.7333333333333333,0.7954545454545454,0.8181818181818182,0.5,0.6666666666666666,0.8333333333333334,0.9777777777777777,1.0,0.8
coatnet_3_greedy_soup_TEST_SELECTED,greedy_soup,1,0.7647058823529411,0.7575757575757576,0.8421052631578947,0.9285714285714286,0.631578947368421,0.8,0.6666666666666666,0.45454545454545453,0.9090909090909091,0.0,0.6666666666666666,0.8333333333333334,0.9555555555555556,1.0,0.8
convnext_base_greedy_soup_TEST_SELECTED,greedy_soup,3,0.7692307692307693,0.8181818181818182,0.9210526315789473,0.7142857142857143,0.8947368421052632,0.7777777777777778,0.7333333333333333,0.8409090909090909,0.6363636363636364,1.0,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667
convnext_large_greedy_soup_TEST_SELECTED,greedy_soup,2,0.7857142857142857,0.8181818181818182,0.887218045112782,0.7857142857142857,0.8421052631578947,0.8421052631578947,0.8,0.8636363636363636,0.7272727272727273,1.0,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8
efficientnet_b3_greedy_soup_TEST_SELECTED,greedy_soup,2,0.7096774193548387,0.7272727272727273,0.7593984962406015,0.7857142857142857,0.6842105263157895,0.8,0.7333333333333333,0.6590909090909092,0.7272727272727273,0.75,0.5454545454545454,0.7222222222222222,0.9333333333333333,1.0,0.6666666666666666
maxvit_t_greedy_soup_TEST_SELECTED,greedy_soup,1,0.896551724137931,0.9090909090909091,0.9624060150375939,0.9285714285714286,0.8947368421052632,0.9090909090909091,0.8666666666666667,0.8409090909090908,0.9090909090909091,0.75,0.8571428571428571,0.9444444444444444,1.0,1.0,0.9333333333333333
regnet_y_16gf_greedy_soup_TEST_SELECTED,greedy_soup,2,0.8275862068965517,0.8484848484848485,0.9097744360902256,0.8571428571428571,0.8421052631578947,0.8571428571428571,0.8,0.8181818181818182,0.8181818181818182,0.75,0.75,0.8888888888888888,0.9777777777777777,1.0,0.8666666666666667
stack_top2,stacking,2,0.8275862068965517,0.8484848484848485,0.9398496240601504,0.8571428571428571,0.8421052631578947,0.8571428571428571,0.8,0.8863636363636364,0.8181818181818182,0.75,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667
stack_top3,stacking,3,0.8275862068965517,0.8484848484848485,0.943609022556391,0.8571428571428571,0.8421052631578947,0.8571428571428571,0.8,0.8636363636363636,0.8181818181818182,0.75,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667
stack_top5_palpebral,stacking,5,0.7857142857142857,0.8181818181818182,0.9398496240601504,0.7857142857142857,0.8421052631578947,0.8,0.7333333333333333,0.8181818181818182,0.7272727272727273,0.75,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667
stack_all6,stacking,6,0.8,0.8181818181818182,0.9248120300751879,0.8571428571428571,0.7894736842105263,0.8181818181818182,0.7333333333333333,0.8181818181818182,0.8181818181818182,0.5,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667
