name,kind,n_members,f1,accuracy,auc,sensitivity,specificity,india_f1,india_accuracy,india_auc,india_sensitivity,india_specificity,italy_f1,italy_accuracy,italy_auc,italy_sensitivity,italy_specificity,note
stack_top2,stacking,2,0.8275862068965517,0.8484848484848485,0.9398496240601504,0.8571428571428571,0.8421052631578947,0.8571428571428571,0.8,0.8863636363636364,0.8181818181818182,0.75,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667,leak-free (meta-learner trained on out-of-fold predictions only)
maxvit_t_soup_all_folds,soup,3,0.8275862068965517,0.8484848484848485,0.9548872180451128,0.8571428571428571,0.8421052631578947,0.8571428571428571,0.8,0.8181818181818181,0.8181818181818182,0.75,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667,"leak-free (weight-averaged, fixed fold set)"
stack_top3,stacking,3,0.8275862068965517,0.8484848484848485,0.943609022556391,0.8571428571428571,0.8421052631578947,0.8571428571428571,0.8,0.8636363636363636,0.8181818181818182,0.75,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667,leak-free (meta-learner trained on out-of-fold predictions only)
convnext_base_fold3,baseline,1,0.8148148148148148,0.8484848484848485,0.9172932330827068,0.7857142857142857,0.8947368421052632,0.8421052631578947,0.8,0.7954545454545454,0.7272727272727273,1.0,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667,leak-free (single trained checkpoint)
regnet_y_16gf_fold3,baseline,1,0.8125,0.8181818181818182,0.9097744360902256,0.9285714285714286,0.7368421052631579,0.8333333333333334,0.7333333333333333,0.75,0.9090909090909092,0.25,0.75,0.8888888888888888,0.9777777777777776,1.0,0.8666666666666667,leak-free (single trained checkpoint)
top5_palpebral_best_fold,ensemble,5,0.8,0.8181818181818182,0.943609022556391,0.8571428571428571,0.7894736842105263,0.8181818181818182,0.7333333333333333,0.7727272727272727,0.8181818181818182,0.5,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667,leak-free (soft-voting average of fixed checkpoints)
stack_all6,stacking,6,0.8,0.8181818181818182,0.924812030075188,0.8571428571428571,0.7894736842105263,0.8181818181818182,0.7333333333333333,0.8181818181818182,0.8181818181818182,0.5,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667,leak-free (meta-learner trained on out-of-fold predictions only)
regnet_y_16gf_fold2,baseline,1,0.8,0.8181818181818182,0.9172932330827068,0.8571428571428571,0.7894736842105263,0.8571428571428571,0.8,0.75,0.8181818181818182,0.75,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8,leak-free (single trained checkpoint)
maxvit_t_fold3,baseline,1,0.8,0.8181818181818182,0.9210526315789476,0.8571428571428571,0.7894736842105263,0.8571428571428571,0.8,0.8636363636363636,0.8181818181818182,0.75,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8,leak-free (single trained checkpoint)
convnext_large_greedy_soup_TEST_SELECTED,greedy_soup,2,0.7857142857142857,0.8181818181818182,0.887218045112782,0.7857142857142857,0.8421052631578947,0.8421052631578947,0.8,0.8636363636363636,0.7272727272727273,1.0,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8,OPTIMISTIC -- fold subset chosen by peeking at this same test set
maxvit_t_fold1,baseline,1,0.7857142857142857,0.8181818181818182,0.9398496240601504,0.7857142857142857,0.8421052631578947,0.8,0.7333333333333333,0.8409090909090908,0.7272727272727273,0.75,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667,leak-free (single trained checkpoint)
convnext_large_fold1,baseline,1,0.7857142857142857,0.8181818181818182,0.8383458646616542,0.7857142857142857,0.8421052631578947,0.8421052631578947,0.8,0.8409090909090909,0.7272727272727273,1.0,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8,leak-free (single trained checkpoint)
stack_top5_palpebral,stacking,5,0.7857142857142857,0.8181818181818182,0.9398496240601504,0.7857142857142857,0.8421052631578947,0.8,0.7333333333333333,0.8181818181818182,0.7272727272727273,0.75,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667,leak-free (meta-learner trained on out-of-fold predictions only)
regnet_y_16gf_soup_all_folds,soup,3,0.7741935483870968,0.7878787878787878,0.9097744360902256,0.8571428571428571,0.7368421052631579,0.8181818181818182,0.7333333333333333,0.7954545454545454,0.8181818181818182,0.5,0.6666666666666666,0.8333333333333334,0.9777777777777776,1.0,0.8,"leak-free (weight-averaged, fixed fold set)"
all6_incl_efficientnet_best_fold,ensemble,6,0.7741935483870968,0.7878787878787878,0.9285714285714284,0.8571428571428571,0.7368421052631579,0.8181818181818182,0.7333333333333333,0.8181818181818182,0.8181818181818182,0.5,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8,leak-free (soft-voting average of fixed checkpoints)
coatnet_3_fold3,baseline,1,0.7741935483870968,0.7878787878787878,0.8947368421052632,0.8571428571428571,0.7368421052631579,0.75,0.6,0.5681818181818182,0.8181818181818182,0.0,0.8571428571428571,0.9444444444444444,1.0,1.0,0.9333333333333332,leak-free (single trained checkpoint)
convnext_large_fold2,baseline,1,0.7692307692307693,0.8181818181818182,0.9022556390977444,0.7142857142857143,0.8947368421052632,0.7777777777777778,0.7333333333333333,0.8409090909090909,0.6363636363636364,1.0,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667,leak-free (single trained checkpoint)
convnext_base_fold1,baseline,1,0.7692307692307693,0.8181818181818182,0.906015037593985,0.7142857142857143,0.8947368421052632,0.7777777777777778,0.7333333333333333,0.7954545454545454,0.6363636363636364,1.0,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667,leak-free (single trained checkpoint)
convnext_base_greedy_soup_TEST_SELECTED,greedy_soup,3,0.7692307692307693,0.8181818181818182,0.9210526315789472,0.7142857142857143,0.8947368421052632,0.7777777777777778,0.7333333333333333,0.8409090909090909,0.6363636363636364,1.0,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667,OPTIMISTIC -- fold subset chosen by peeking at this same test set
convnext_base_soup_all_folds,soup,3,0.7692307692307693,0.8181818181818182,0.9210526315789472,0.7142857142857143,0.8947368421052632,0.7777777777777778,0.7333333333333333,0.8409090909090909,0.6363636363636364,1.0,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667,"leak-free (weight-averaged, fixed fold set)"
coatnet_3_fold2,baseline,1,0.7647058823529411,0.7575757575757576,0.8421052631578947,0.9285714285714286,0.631578947368421,0.8,0.6666666666666666,0.4545454545454545,0.9090909090909092,0.0,0.6666666666666666,0.8333333333333334,0.9555555555555556,1.0,0.8,leak-free (single trained checkpoint)
